Name,Team,Nationality,Matches,Bat- Not Out,Bat-Runs,Bat-Highest Score,Bat- Average,Bat- Balls Faced,Bat-Strike Rate,100,50,4s,6s,Catches,Stumpings,Bowl-Balls,Bowl-Runs Conceded,Bowl-Wickets,Bowl-Best Figures,Bowl-Average,Bowl-Economy,Bowl-Strike Rate,4W,5W
MS Dhoni (c),CSK,Indian,190,65,4432,84*,42.2,"3,215",137.85,0,23,297,209,98,38,0,0,0,0/0,-,-,-,0,0
Imran Tahir,CSK,South African,55,4,20,5,5,27,74.07,0,0,3,0,13,0,"1,226","1,611",79,4/12,20.39,7.88,15.51,3,0
Lungi Ngidi,CSK,South African,7,0,0,0*,-,0,-,0,0,0,0,1,0,156,156,11,4/10,14.18,6,14.18,1,0
Ruturaj Gaikwad,CSK,Indian,No Past IPL Stats Found,,,,,,,,,,,,,,,,,,,,,
Shane Watson,CSK,Australian,134,15,3575,117*,31.08,"2,562",139.53,4,19,343,177,38,0,"2,029","2,682",92,4/29,29.15,7.93,22.05,1,0
Ambati Rayudu,CSK,Indian,147,25,3300,100*,28.69,"2,620",125.95,1,18,278,120,53,2,18,22,0,0/0,-,7.33,-,0,0
Murali Vijay,CSK,Indian,103,5,2587,127,26.39,"2,106",122.83,2,13,243,91,47,0,36,49,0,0/0,-,8.16,-,0,0
Kedar Jadhav,CSK,Indian,79,23,1079,69,22.95,853,126.49,0,4,92,38,27,7,0,0,0,0/0,-,-,-,0,0
Ravindra Jadeja,CSK,Indian,170,48,1927,48,24.08,"1,572",122.58,0,0,135,65,63,0,"2,495","3,152",108,5/16,29.18,7.57,23.1,3,1
Deepak Chahar,CSK,Indian,34,1,71,39,11.83,44,161.36,0,0,2,6,4,0,688,875,33,3/15,26.51,7.63,20.84,0,0
Piyush Chawla,CSK,Indian,157,32,584,24*,11.91,524,111.45,0,0,54,18,40,0,"3,124","4,072",150,4/17,27.14,7.82,20.82,2,0
Narayan Jagadeesan,CSK,Indian,No Past IPL Stats Found,,,,,,,,,,,,,,,,,,,,,
Mitchell Santner,CSK,New Zealander,4,1,32,22,32,23,139.13,0,0,0,3,1,0,84,94,4,2/13,23.5,6.71,21,0,0
KM Asif,CSK,Indian,2,0,0,0*,-,0,-,0,0,0,0,0,0,36,75,3,2/43,25,12.5,12,0,0
Shardul Thakur,CSK,Indian,36,3,36,15*,7.2,21,171.42,0,0,5,1,13,0,707,"1,065",36,3/19,29.58,9.03,19.63,0,0
R Sai Kishore,CSK,Indian,No Past IPL Stats Found,,,,,,,,,,,,,,,,,,,,,
Faf du Plessis,CSK,South African,71,5,1853,96,31.4,"1,462",126.74,0,12,163,59,42,0,6,16,0,0/0,-,16,-,0,0
Monu Kumar,CSK,Indian,No Past IPL Stats Found,,,,,,,,,,,,,,,,,,,,,
Dwayne Bravo,CSK,West Indian,134,38,1483,70*,23.17,"1,156",128.28,0,5,116,61,74,0,"2,586","3,617",147,4/22,24.6,8.39,17.59,2,0
Josh Hazlewood,CSK,Australian,No Past IPL Stats Found,,,,,,,,,,,,,,,,,,,,,
Sam Curran,CSK,English,9,4,95,55*,23.75,55,172.72,0,1,13,3,2,0,198,323,10,4/11,32.3,9.78,19.8,1,0
Karn Sharma,CSK,Indian,62,14,316,39*,15.8,271,116.6,0,0,18,14,14,0,"1,108","1,445",54,4/16,26.75,7.82,20.51,2,0